Neuroname,type,param,,,
I1L,interneuron,AIY,,sensory,AWC
I1R,interneuron,AIY,,interneuron,AIY
I2L,interneuron,AIY,,motor,VD5
I2R,interneuron,AIY,,head motor,RIM
I3,interneuron,AIY,,command,AVA
I4,interneuron,AIY,,,
I5,interneuron,AIY,,,
I6,interneuron,AIY,,,
M1,motor,VD5,,,
M2L,motor,VD5,,,
M2R,motor,VD5,,,
M3L,motor,VD5,,,
M3R,motor,VD5,,,
M4,motor,VD5,,,
M5,motor,VD5,,,
MCL,motor,VD6,,,
MCR,motor,VD7,,,
MI,motor,VD5,,,
NSML,interneuron,AIY,,,
NSMR,interneuron,AIY,,,
ASIL,sensory,AWC,,,
ASIR,sensory,AWC,,,
ASJL,sensory,AWC,,,
ASJR,sensory,AWC,,,
AWAL,sensory,AWC,,,
AWAR,sensory,AWC,,,
ASGL,sensory,AWC,,,
ASGR,sensory,AWC,,,
AWBL,sensory,AWC,,,
AWBR,sensory,AWC,,,
ASEL,sensory,AWC,,,
ASER,sensory,AWC,,,
ADFL,sensory,AWC,,,
ADFR,sensory,AWC,,,
AFDL,sensory,AWC,,,
AFDR,sensory,AWC,,,
AWCL,sensory,AWC,,,
AWCR,sensory,AWC,,,
ASKL,sensory,AWC,,,
ASKR,sensory,AWC,,,
ASHL,sensory,AWC,,,
ASHR,sensory,AWC,,,
ADLL,sensory,AWC,,,
ADLR,sensory,AWC,,,
BAGL,sensory,AWC,,,
BAGR,sensory,AWC,,,
URXL,sensory,AWC,,,
URXR,sensory,AWC,,,
ALNL,sensory,AWC,,,
ALNR,sensory,AWC,,,
PLNL,sensory,AWC,,,
PLNR,sensory,AWC,,,
SDQL,sensory,AWC,,,
SDQR,sensory,AWC,,,
AQR,sensory,AWC,,,
PQR,sensory,AWC,,,
ALML,sensory,AWC,,,
ALMR,sensory,AWC,,,
AVM,sensory,AWC,,,
PVM,sensory,AWC,,,
PLML,sensory,AWC,,,
PLMR,sensory,AWC,,,
FLPL,sensory,AWC,,,
FLPR,sensory,AWC,,,
DVA,interneuron,AIY,,,
PVDL,sensory,AWC,,,
PVDR,sensory,AWC,,,
ADEL,sensory,AWC,,,
ADER,sensory,AWC,,,
PDEL,sensory,AWC,,,
PDER,sensory,AWC,,,
PHAL,sensory,AWC,,,
PHAR,sensory,AWC,,,
PHBL,sensory,AWC,,,
PHBR,sensory,AWC,,,
PHCL,sensory,AWC,,,
PHCR,sensory,AWC,,,
IL2DL,sensory,AWC,,,
IL2DR,sensory,AWC,,,
IL2L,sensory,AWC,,,
IL2R,sensory,AWC,,,
IL2VL,sensory,AWC,,,
IL2VR,sensory,AWC,,,
CEPDL,sensory,AWC,,,
CEPDR,sensory,AWC,,,
CEPVL,sensory,AWC,,,
CEPVR,sensory,AWC,,,
URYDL,sensory,AWC,,,
URYDR,sensory,AWC,,,
URYVL,sensory,AWC,,,
URYVR,sensory,AWC,,,
OLLL,sensory,AWC,,,
OLLR,sensory,AWC,,,
OLQDL,sensory,AWC,,,
OLQDR,sensory,AWC,,,
OLQVL,sensory,AWC,,,
OLQVR,sensory,AWC,,,
IL1DL,sensory,AWC,,,
IL1DR,sensory,AWC,,,
IL1L,sensory,AWC,,,
IL1R,sensory,AWC,,,
IL1VL,sensory,AWC,,,
IL1VR,sensory,AWC,,,
AINL,interneuron,AIY,,,
AINR,interneuron,AIY,,,
AIML,interneuron,AIY,,,
AIMR,interneuron,AIY,,,
RIH,interneuron,AIY,,,
URBL,interneuron,AIY,,,
URBR,interneuron,AIY,,,
RIR,interneuron,AIY,,,
AIYL,interneuron,AIY,,,
AIYR,interneuron,AIY,,,
AIAL,interneuron,AIY,,,
AIAR,interneuron,AIY,,,
AUAL,interneuron,AIY,,,
AUAR,interneuron,AIY,,,
AIZL,interneuron,AIY,,,
AIZR,interneuron,AIY,,,
RIS,interneuron,AIY,,,
ALA,interneuron,AIY,,,
PVQL,interneuron,AIY,,,
PVQR,interneuron,AIY,,,
ADAL,interneuron,AIY,,,
ADAR,interneuron,AIY,,,
RIFL,interneuron,AIY,,,
RIFR,interneuron,AIY,,,
BDUL,interneuron,AIY,,,
BDUR,interneuron,AIY,,,
PVR,interneuron,AIY,,,
AVFL,interneuron,AIY,,,
AVFR,interneuron,AIY,,,
AVHL,interneuron,AIY,,,
AVHR,interneuron,AIY,,,
PVPL,interneuron,AIY,,,
PVPR,interneuron,AIY,,,
LUAL,interneuron,AIY,,,
LUAR,interneuron,AIY,,,
PVNL,interneuron,AIY,,,
