table,page,ion_channel,function,entity,parameter,value,unit
Supplementary Table 2,6,SHL1,m∞,,V0.5,11.0,mV
Supplementary Table 2,6,SHL1,m∞,,ka,14.1,mV
Supplementary Table 2,6,SHL1,h∞,,V0.5,-33.1,mV
Supplementary Table 2,6,SHL1,h∞,,ki,8.3,mV
Supplementary Table 2,6,SHL1,τm,,a,13.8,ms
Supplementary Table 2,6,SHL1,τm,,b,-17.5,mV
Supplementary Table 2,6,SHL1,τm,,c,12.9,mV
Supplementary Table 2,6,SHL1,τm,,d,-3.7,mV
Supplementary Table 2,6,SHL1,τm,,e,6.5,mV
Supplementary Table 2,6,SHL1,τm,,f,1.9,ms
Supplementary Table 2,6,SHL1,τfh,,a,539.2,ms
Supplementary Table 2,6,SHL1,τfh,,b,-28.2,mV
Supplementary Table 2,6,SHL1,τfh,,c,4.9,mV
Supplementary Table 2,6,SHL1,τfh,,d,27.3,ms
Supplementary Table 2,6,SHL1,τsh,,a,8422.0,ms
Supplementary Table 2,6,SHL1,τsh,,b,-37.7,mV
Supplementary Table 2,6,SHL1,τsh,,c,6.4,mV
Supplementary Table 2,6,SHL1,τsh,,d,118.9,ms
Supplementary Table 2,6,SHK1,m∞,,V0.5,20.4,mV
Supplementary Table 2,6,SHK1,m∞,,ka,7.7,mV
Supplementary Table 2,6,SHK1,h∞,,V0.5,-7.0,mV
Supplementary Table 2,6,SHK1,h∞,,ki,5.8,mV
Supplementary Table 2,6,SHK1,τm,,a,26.6,ms
Supplementary Table 2,6,SHK1,τm,,b,-33.7,mV
Supplementary Table 2,6,SHK1,τm,,c,15.8,mV
Supplementary Table 2,6,SHK1,τm,,d,-33.7,mV
Supplementary Table 2,6,SHK1,τm,,e,15.4,mV
Supplementary Table 2,6,SHK1,τm,,f,2.0,ms
Supplementary Table 2,6,SHK1,τh,,a,1400.0,ms
Supplementary Table 2,6,KVS1,m∞,,V0.5,57.1,mV
Supplementary Table 2,6,KVS1,m∞,,ka,25.0,mV
Supplementary Table 2,6,KVS1,h∞,,V0.5,47.0,mV
Supplementary Table 2,6,KVS1,h∞,,ki,11.1,mV
Supplementary Table 2,6,KVS1,τm,,a,30.0,ms
Supplementary Table 2,6,KVS1,τm,,b,18.1,mV
Supplementary Table 2,6,KVS1,τm,,c,20.0,mV
Supplementary Table 2,6,KVS1,τm,,d,1.0,ms
Supplementary Table 2,7,KQT3,m∞,,V0.5,-12.6726,mV
Supplementary Table 2,7,KQT3,m∞,,ka,15.8008,mV
Supplementary Table 2,7,KQT3,w∞,,V0.5,-1.084,mV
Supplementary Table 2,7,KQT3,w∞,,ki,28.78,mV
Supplementary Table 2,7,KQT3,s∞,,V0.5,-45.3,mV
Supplementary Table 2,7,KQT3,s∞,,ki,12.3,mV
Supplementary Table 2,7,KQT3,τfm,,a,395.3,ms
Supplementary Table 2,7,KQT3,τfm,,b,38.1,mV
Supplementary Table 2,7,KQT3,τfm,,c,33.59,mV
Supplementary Table 2,7,KQT3,τsm,,a,5503.0,ms
Supplementary Table 2,7,KQT3,τsm,,b,-5345.4,ms
